Index,Speech,ThemeLabel
3303,долг кредиту вашего банка карте нужно получить ключ,7
9771,пожалуйста соедините оператором,21
5576,интересует интересует кредит,10
267,отделение качканар,0
2614,действующему кредиту,5
4983,интересу пуск карты банковские карты,9
10288,оператором пообщаться,21
9386,хочу получить деньги счета,19
1413,здравствуйте интересует звонок банк город нефтеюганск,3
5286,кредит,10
3545,ваш разговор продолжен пожалуйста оставайтесь линии обеспечению кассе давай,8
237,деньги пополнить карточку,0
10995,скажите пожалуйста кредит хотелось узнать,24
10,дополнительный офис телефон дополнительного офиса улице куйбышева восемьдесят пять,0
6224,кредита,10
3703,работы кассы,8
150,отдел ростове дону находится банк,0
7692,карточку потерял,18
654,узнать телефон отделения туда позвонить общем номер говорить,0
3293,закончится,7
4264,хотела,9
5681,алло ипотека,10
2658,кредит платежка,5
10981,интересует взять кредит,24
2207,счет вкладу,4
3096,перевод прошел перевод денег,6
4724,веб карт,9
13085,нужны реквизиты,32
11229,узнать счет кредиту,24
13021,интересует закрытие моего счета хочу проконсультироваться,31
6307,интересует кредит банк,10
10172,оператора вместо интересует,21
129,филиала отделения банка,0
4064,смена пароля банковской карте,8
12843,алло интересует открытие расчетного счета,31
6312,обслуживание ипотека,10
9537,алло инте интересует открыть иного вклада какие процентная,20
12529,добрый день хотели узнать,27
11146,узнать одобрили кредит,24
4756,карты,9
7242,хотел узнать пришла карта новый,18
4689,интересует дебетовой карточки,9
9120,сегодня телефон пришла смска,18
13238,перевод счет юридического лица,35
9991,дата оператора,21
7012,проблема банкоматом,16
12313,терминалу магазине э работа терминал банка вашего,25
905,время работы отделения банка город салават адреса космонавтов сорок,0
5250,поводу кредита,10
9866,запрос специалиста,21
10251,нужна помощь оператора,21
8555,статусу платежа,18
1468,телефону звонки,3
5684,алло,10
3819,здравствуйте интересует связи интернет банка,8
13292,юридическое лицо нам алло сша,35
2175,интересует ставка вкладам,4
3140,узнать просрочена задолженность,7
239,ряда,0
7349,продать платежку,18
1625,звонили,3
6354,сколько осталось э конца кредита сумма,10
7849,возврат покупки,18
623,банкомат работает деньги могу внести кредит,0
10672,перевыпуск зарплатной карты,23
4844,платно карта вашего,9
1385,интересует связывай позвонили хочу узнать звонили,3
9721,сотрудником банка,21
1804,вопрос поступил звонок просто заняты попросила перезвонить предложения какому новом,3
4552,алло карточка,9
3087,проблема переводом денег карту,6
1773,почему звонили сегодня,3
1223,банкомат взял деньги зачислил,0
1919,вчера позвонили нам счет моего счета,3
3984,проблема банк клиент,8
3662,восстановить пароль интернет банк,8
2364,интересует текущий оплата кредита,5
2070,стал такое,4
8072,проходит оплата интернет магазине,18
2787,нам нужно закрыть кредит четырнадцатого числа доплатили последней,5
5184,написано,10
8574,карту узнать сколько осталось платить кредит,18
10900,чек чек выдал ошибку,23
6751,интересует обмен валюты,14
1985,снятие вклада,4
6803,интересует валютный вклады,14
9936,консультация расчетного счета,21
2426,остаток задолженности кредиту остаток задолженности,5
10203,нужен оператор,21
10654,распечатка платежном поручении,22
1759,звонили,3
811,ближайший,0
8312,ейске карта просто нужно поговорить кем своему кредиту,18
11603,оставляла заявку интернете,24
6823,перевод валюты,14
3354,заканчивается,7
9876,хотел поговорить оператором,21
5509,кредиту,10
13188,реквизиты,32
6068,кредит интересует кредит,10
4525,вопрос карте,9
1250,скольки работает ваш банк,0
5135,карта банк,9
11202,хотим оформить просрочку погашение кредита,24
4546,услуги,9
11284,делала заявку кредит пришло пришло смс услуг кодом значит,24
11740,пенни взять кредит нужен процент узнать процент взять кредит,24
10705,нужна перевыпустить,23
33,находится,0
1000,скольки работает отделение,0
10421,интересует живой оператор,21
3968,техподдержка юридических лиц,8
9279,каком банкомате проверить баланс процента,18
5447,пенсионеров,10
10298,операционист,21
1421,одесской звонки могу понять происходит,3
13215,эквайринга,34
7299,входящие платежи,18
5711,здравствуйте,10
3829,интересует пароль входа интернет банк,8
2752,действующим кредит,5
1236,месте статический,0
3240,задолжность,7
5014,идите карта контактный центр центре,9
5915,кредита,10
1390,позвонили сказали должна,3
3348,задолжность обслуживание карты,7
5835,интересует день кредит,10
2570,платеж сто,5
8239,работа картой,18
2862,погасить задолженность кредиту,5
7474,карту разблокировать,18
1208,офисы продаж,0
6899,э мобильный банк,15
2667,платеж кредиту,5
2908,оплатить кредит другом,5
1115,деньги отправленные банкомат полученных,0
9761,хочу поговорить оператором поводу,21
7040,интересует зажевало банкомате который сих пор возвращает зажевало двадцатого декабря,16
10586,создать платежном поручении,22
2970,вопрос текущему кредиту,5
3445,работа банк клиентом,8
7547,вопрос оплаты карте,18
9117,сумма ограничения счету,18
6033,сбербанк,10
11638,хотел кредит оформить,24
2498,вопрос ипотечному кредиту,5
4597,угу,9
11076,здравствуйте вашего банка приходило смс возможности взять кредит,24
1561,пропущенный звонок,3
9521,открытие нова открыть,20
4652,карты,9
11754,рублей оформление кредита,24
3484,проблема лайн банк,8
9958,можете соединить сотрудником,21
10247,пять оператором,21
3226,задолженность кредитной карты,7
8922,действующую карту проверить,18
6935,банком банкомат принимает деньги,16
9700,связаться оператором,21
2961,вопрос текущий карте выдавали заявку кредит,5
4235,карту,9
736,ответьте пожалуйста офисом дома общего тридцать находится,0
3394,доброе утро скажите пожалуйста заканчивается договор тысячи стоп февраля воскресенье день перезаключить договор,7
5282,кредит алло,10
5578,ага,10
4784,узнать вопрос карту,9
6411,максим,11
6359,почту пять автокредит,10
8506,интересует снять деньги заблокирована карточка,18
11867,хотелось узнать кредит,24
10379,карта специалиста алло,21
6117,интересно даете кредит иностранных граждан наличии ресепшн,10
9821,консультация насчет кредита,21
11345,узнать решению кредита,24
10972,узнать оформить кредит,24
1599,алло алло звонили этому перезваниваю,3
8834,хотелось узнать отправлен код,18
8929,карта получить пенсии,18
720,находится ваш офис,0
11904,хочу кредит заявка оставить,24
2823,хочу уточнить перенос платежа,5
5409,кредит,10
1974,закрытие вклада,4
2306,висит вклад,4
7824,поменять платеж,18
5878,приобретение кредита,10
1392,номера звонили,3
952,адреса главная,0
9370,действующей кредитка,19
9626,процент вкладу открытие,20
3926,интернет банк алло восстановление пароля,8
3448,интернет банк алло,8
12954,закрыли расчетный счет организации,31
7163,пополнение вклада физических лиц,17
621,хочу узнать месте,0
9600,интересует цвета нету думаю хотели делать,20
12469,привет,27
4261,банк,9
211,адрес городе краснодаре вашего банка,0
8228,пополнить счет,18
5910,ваше смс поводу кредита,10
4979,расчет,9
13187,лицевой счет узнать,32
7438,какие банки партнеры нужно снять наличные,18
11906,хочу узнать выплатил кредит,24
6843,валюты город воронеже перевести семь,14
3818,э значит интернет банк,8
13059,интересует сделать перевод расчетного счета карту,32
12558,здравствуйте интересует сказали банк пришли,27
5532,интересует интересует кредит,10
1034,интересует адрес банка,0
2724,вопрос погашению кредита,5
7151,действующих вклады получения кредита,17
12422,алло здравствуйте позвонили,27
1614,просто позвонили позвонила,3
3734,заблокировать интернет банк,8
8977,плачу кредит кредит оплачиваю,18
12857,получение расчетного счета,31
8178,карточке,18
10546,хотел пообщаться оператором,21
11916,пришло код получение кредита,24
10044,соедините соедините оператором очень срочно,21
830,отделения банкоматы,0
1026,интересует телефон офиса ленинградском проспекте нижнем тагиле,0
1325,заблокировать карту,2
6418,гк кредитной картой,11
10071,соедините специалиста,21
7421,вставил карту положим туда деньги деньги,18
2753,повторяю вопрос заем алло такое,5
9067,вопрос созданию платежа,18
2099,верно,4
2643,сумма досрочного погашения,5
3726,установить интернет банк,8
11282,насчет кредита узнать,24
477,карточку банкомат сумму,0
11875,оформить кредит пенсионерка,24
3771,клиент банк работает,8
36,нужен адрес банкомата челябинске,0
10855,поменять карточку,23
5951,денег кредит,10
2600,вопрос вопрос,5
5784,верно,10
5397,срок отдела золото,10
11419,заявку кредит,24
4290,карточка интересует карточка,9
1283,хотела заблокировать карту,2
12496,добрый день пришла смска вашего ситибанк кем хотел узнать пообщаться тарифы телеком спасибо,27
770,сумма денег осталось банкомате,0
2464,вопрос состоит рязань деньги матчи кредита либо вопрос,5
5725,сказал,10
3855,пароль интернет банку,8
2551,остаток долга кредиту,5
11039,подавал заявку кредит,24
3539,работает интернет банк тема,8
2581,перенести платеж,5
10056,нужна консультация оператора,21
2653,остаток задолженности кредит,5
5483,пришло сообщение одобрен кредит,10
3288,узнать ссудная задолженность,7
4472,данная карта,9
7433,нужно платежку сайте,18
6315,насчет насчет кредита,10
8155,списание карте,18
3010,денежные средства перевод карт банкомат,6
5511,весь телефон,10
3042,перевод денег карту,6
12623,алло здравствуйте хотел узнать срочно забыл,27
991,алло отделение банка интересует,0
11025,взять кредит,24
11869,подавала заявку интернет,24
3807,узнать поддержка интересует интернет банк могу запросить,8
4871,самое,9
6606,курс покупки доллара,12
6446,хочу,11
8007,положить баланс,18
3677,прошел пароль,8
9265,остаток дебетовой карты,18
4572,нужно перевод моей карты,9
4012,алло просто поддержку,8
344,регистрации отделение,0
8241,вопрос списанию сумма кредита,18
8996,платежи,18
9963,нужно поговорить оператором,21
3660,интересует почему личном кабинете могу узнать остаток,8
12507,здравствуйте,27
4203,интересует служба поддержки клиентов,8
5173,кредит кредит,10
9974,нужна связь менеджером,21
13225,подключение торговые эквайринга,34
11855,получение кредита сказать код,24
1837,звонили,3
3406,задолженность кредиту деньги перечислены,7
9079,остаток своей карте,18
7883,код банк,18
8066,действующих карта,18
4436,звоню насчет карточки прошла,9
4319,алло,9
12177,хочу получить кредит карте,24
5137,карточка проходит,9
8795,хотел подтверждении платежей,18
5363,кредит указанным,10
160,банк банк отделения банка,0
10579,оформить платежном поручении,22
1771,звонили,3
12416,здравствуйте хотел кассовый заявку оставить,27
9514,вклад вклад,20
339,интересует вклад отделение банка парк,0
11020,получение кредита получим мая,24
13122,номер лицевого счета,32
3512,здравствуйте нужно восстановить пароль интернет банк,8
7284,б работы платежка,18
10284,связаться оператором,21
2663,интересует платежи кредиту,5
8766,вопрос квитанции сумма платить,18
3017,перевод денег счета счет,6
9228,вопрос могу досрочно заплатить,18
706,интересует отделение банка часы работы,0
12562,здравствуйте пытаюсь,27
10677,получить карту,23
11701,какие нужны справки обязательно оформлении кредита ваш банк,24
4268,карте городе оренбурге,9
11628,какие условия кредитования,24
10644,платежное поручение карт,22
3049,перевод средств карты карту,6
475,интересует отделение санкт петербурге,0
10703,банковская зарплатная карта готова готова,23
13277,юридические движения счета юридического лица,35
2368,нужно вопрос кредиту,5
4422,понял,9
4602,подойти любой банке,9
582,интересует система банкоматов,0
8938,баланс карте баланс карте,18
9138,нужно узнать минимальный платеж месяца,18
6864,дирхам,14
5425,нужно кредит,10
8033,снять вклада наличными,18
10921,заявку кредит оставлял,24
11321,узнать задолжность кредиту,24
11980,сняли поводу получения кредита,24
9024,алло пришел пин код,18
7285,карточка закрыли,18
5427,месяцами,10
5067,карту лайн банк,9
2546,вопрос кредите,5
12129,получить кредит пенсионный,24
151,пяти отделение банка,0
8854,забрал карту выдал деньги,18
2593,перенос платежа действий,5
7216,заканчивается вклада двадцать часу забрать деньги,17
1682,общие двух звонили перезвоню просто узнать,3
11033,девушка хотела узнать поводу кредита,24
12605,девушка скажите пожалуйста здравствуйте,27
3141,узнать просроченная задолженность,7
4805,насчет карточки банковской,9
13305,корпоративные карты,35
11080,хочу поговорить,24
7062,нахожусь магазине каком городе воронеже банкомат почему принимает деньги,16
1427,звонили,3
10520,подтверждение трудоустройство сотрудника,21
1119,адрес вашего банка городе назаров,0
2494,кредиту вопрос,5
10733,интересует дата открытия карты,23
6692,делать менять евро,13
893,находится адрес,0
4509,заработная плата,9
12048,ваших клиент брала кредит хочу,24
1813,здравствуйте звонок вчера банк клиента банком хотели сорок четыре,3
7517,узнать сколько денег карте,18
127,проспекте тебе скажите ваш филиал стоит,0
11565,право пин код получение кредита хочу дошли,24
11063,условия получения кредита,24
10550,дайте человека пообщаться,21
2056,вопрос вклада,4
2137,вклада,4
12435,здравствуйте предварительно узнать делать,27
13015,открывала подавала заявку открытие расчетного счета городе челябинск,31
7377,телефон номер пришла смс сообщений,18
2542,вопрос действующим кредите,5
3858,пая дура деньги,8
1242,дальнего офиса,0
9152,почему карта либо картах могу купить,18
3983,здравствуйте интернет банк,8
8163,мою карту заблокировали нужно разблокировать,18
305,почему работает телефон адресу красный проспект сто семьдесят восемь,0
8546,смс пришла кодом дети получите,18
6957,банкомат выдал деньги,16
607,урал урал банк находится,0
6579,интересует курс покупки доллара,12
2087,здравствуйте интересует состояние моего вклада,4
2693,нужно связаться оператором поводу погашения остатка ссудной кредит,5
11241,хотел кредиту узнать,24
6641,хочу продать доллары,12
8372,подключить оповещение поступлении денежных средств карту,18
3541,алло техподдержка,8
9640,проценты вкладу существующий э вклада,20
11785,получу,24
13027,расчетный счет получение выписки,31
526,отделение отделении,0
8639,списывается платеж карту,18
7498,подтверждения платежа,18
11243,интересует пенсионная кредита кредитование кредитование пенсионеров тех условиях производит,24
9589,какие проценты вклады,20
1493,просто звонили успел телефон,3
5422,ейск нашла,10
11093,хотел взять кредит,24
7221,обслуживание обслуживание текущего вклада,17
5087,знаю,9
1141,интересует отделение банка,0
6290,клиент вашего,10
6501,перевод кредитную карту,11
1318,карточку хочу заблокировать,2
10567,связь оператором,21
7658,получается войти балансе банк,18
12503,алло добрый вечер,27
2029,третий вклада,4
2454,действующей потребительского кредита,5
268,отделение городе салават телефон,0
2326,вклад,4
10640,нужен счет платежном поручении какие удалить числе подписан,22
3557,установите интернет банк билайн,8
2688,действующих кредит платеж кредиту,5
5668,решение кредита,10
1673,звонили пропущенный пропущенный вопрос,3
5450,интересует кредитование,10
3315,вопрос погашении задолженности двести рублей вчера доплатил прислали,7
3841,восстановление пароля интернет банке,8
8532,нашел карту,18
5870,паспорту,10
13039,узнать поводу расчетного счета,31
7067,банкомат банкомат деньги съело карточку ответил,16
6741,менять бады рубли,14
11447,кредит оформление соколе,24
3527,могу зайти свой интернет банк,8
3215,область пенни кредита,7
2832,интересует размер очередного платежа кредиту,5
3962,поддержка,8
4603,могу поговорить,9
12159,хочу взять кредит потребительский,24
8039,снять наличных,18
5850,выписка кредиту,10
3053,отправил отправила перевод western union,6
1502,смс кар пожалуйста адмирала звонили,3
2091,закрыть вклад,4
8054,оплатить квитанцию оплата институт,18
11127,заявку оставляла узнать хотел,24
5479,кредиту,10
2251,закрыть вклад закрыть вклад,4
9685,скажите пожалуйста такие сегодня вкладах какие проценты,20
3353,здравствуйте марта заканчивается вклад отправляемый хочу узнать пролонгация какое-то новый,7
4501,поводу карты карта,9
936,любой филиал,0
5211,ипотека,10
473,помнил операцию,0
10927,получить,24
2699,вопрос действующим кредит,5
10745,получить карту поводу,23
2768,алло ежемесячный платеж кредиту,5
6477,кредитной карте,11
340,девушка терминале снимала деньги девять тридцать шесть выдал застряли банкомате делать,0
6429,кар,11
4271,авторизация банковской карте,9
12982,открытие счета индивидуального предпринимателя,31
6217,брала кредит нужно делать,10
11693,кредит наличными двести пятьдесят тысяч,24
3324,насчет задолженности,7
11625,заявка потребительский кредит,24
7121,текущего вклада,17
3244,заканчивается срок,7
6908,мобильный банк вкладу,15
4838,карту,9
11108,оформила ссуду,24
8024,зачисление счет денежных средств,18
9492,ипотеку,19
11776,интересует услуги получение кредита,24
10743,хочу получить карту кредит,23
5614,э выдачи кредит,10
5089,мира,9
12051,взять изъять взять кредит,24
767,можете соединить физ лиц адрес,0
10370,нужен оператор,21
1664,абонент которым разговаривали поставил вызов удержание,3
1490,позвонили телефон могу сказали ту сделано заказ,3
8001,могу оплатить кредит банкомате который находится проспекте городе,18
5452,ой подавал кредит пришла пока,10
4757,алло фонд,9
1295,заблокированной,2
12781,открытие расчетного счета организаций,31
3633,пришел пароль интернет банк,8
12950,расчетного счета,31
8520,могу перевести деньги,18
11130,хотела взять хотела взять кредит,24
10019,день оператором,21
4294,алло,9
8941,узнать точно адрес блин находитесь карте сама,18
11072,получить кредит,24
1355,заблокировали банк,2
10740,готова карта,23
3813,интернет банк,8
579,нужно соединиться офис,0
9424,сумме либо кредит либо кредитной карты интересует,19
2532,интересует предыдущие кредиту платежка,5
1897,здравствуйте звонили поводу кредита буквально около часа назад хотелось переговорить вопрос,3
3173,погашение задолженности,7
3075,перевод денежных средств корпоративную карту,6
125,отделение городе улице саратовская область,0
6985,застряла карточка банкомате,16
6771,курс рубля продажи,14
10423,оператор оператор,21
242,банкомат екатеринбурге внесения наличных,0
5997,счет кредита,10
5142,государственный,9
3107,реструктуризация кредита,7
3111,просроченная задолженность,7
12019,пришла заявка поводу кредита хотел узнать,24
1562,банк позвонил звонила позвонили,3
4595,электронной подписи счета ой,9
9625,банка виза карточка большая сумма,20
10231,хотел поговорить оператором,21
11400,получения кредита оформлен заявка интернету отправлен код документы собой иметь,24
3214,задолженность кредиту,7
5940,личном кредит возможно сделать,10
9499,процент вкладам,20
732,отделения банка площади ленина новосибирск найти ваш банк,0
10363,телефон операциониста,21
10547,связаться оператором,21
9160,действующей карте шесть консультат,18
6139,насчет кредит девушка насчет кредит потребительский кредит,10
6777,обмен гривны,14
7158,пополнении,17
1496,частые звонки вашего банка,3
1371,звонили этому приехать узнать,3
2220,вклад закрытие вклада,4
13263,работа индивидуальных предпринимателей,35
8525,открыла мобильный банк пойму номер счета счета нужно общем,18
4957,мерные банк,9
3113,интересует связь отделом просроченной задолженности,7
9146,нам пришел вашем телефоне,18
3047,денежный перевод утра кроны,6
28,заметить денег банкомате,0
6081,совершали двадцать четыре,10
10829,поменяли карту,23
8680,правила пользовании картой,18
6904,телефон интересует банка,15
13271,юридические лица перечисление зарплаты,35
10552,хочу снять закрыть вклад специалиста вклада,21
9914,нужно связаться специалистом,21
140,обратиться банкомат деньги недодал,0
1114,узнать городе челябинске адрес,0
12746,начисление процентов дата,29
100,адреса банкоматов город краснодар,0
8452,вопрос действующий карты,18
1030,режим работы банка,0
1531,звонили десять назад,3
5858,следующих кредит,10
8474,баланс карты интересует,18
9603,открыть вклад узнать процент,20
460,алло находится банк,0
471,телефон офиса киров воровского,0
4344,узнать карте,9
12626,оформить кредитную карту отправлял отправлял заявку получение кредитная карта,28
8915,смска пришла смска пришла кодом,18
4908,произошло перевод карту,9
11656,хотел хотел узнать хотела узнать одобрили заявку кредит,24
11077,хотела самая пожалуйста кредит оформлять позвонили успел взять трубку,24
1728,позвонили телефону поэтому звоню,3
12801,дали заявку открытие счета,31
12078,здравствуйте получить кредит,24
6790,сколько курс,14
7770,заявка снятие наличности,18
1542,просто звонок,3
434,положил деньги банкомат отмена перечень обещала деньги поступили,0
10403,деньги вместо специалистом,21
7006,алло интересует ваш банкомат кировском застряла карта,16
